created,text,retwc,hashtag,followers,friends
02-07-2020 19:57,b'RT @redfishstream: Indian student protesters against the Modi-government singing a Bengali version of the famous anti-fascist song Bella Ci\xe2\x80\xa6',668,None,0,27
,,,,,
02-07-2020 19:57,b'RT @UnSubtleDesi: Kolkata\xe2\x80\x99s Telegraph reports satirical tweet as real to show Modi govt banning TikTok in poor light \n\nThis is hilarious \xe2\x81\xa6@\xe2\x80\xa6',1100,None,279,354
,,,,,
02-07-2020 19:57,"b'RT @TheOliveKnife: .@rahulgandhi is furious with Modi ji over ""1 Nation, 1 Ration Card""\n\nhe is asking how 130 Cr people will use one card &amp;\xe2\x80\xa6'",357,None,11,48
,,,,,
02-07-2020 19:57,"b'RT @AnshumanSail: Dear NRI friends, \n\nAfter Donald Trump signed an order to suspend H 1B Visas, Mr. ND Modi chose to be mute on the issue.\xe2\x80\xa6'",336,None,557,817
,,,,,
02-07-2020 19:57,"b""RT @ws14h6BaaR46GTm: Now it's your turn Mr. Narendra Modi ji to stand for Sushant Singh Rajput and give justice to him.\n#CBIMustForShushant\xe2\x80\xa6""",98,CBIMustForShushant,0,13
,,,,,
02-07-2020 19:57,"b'RT @rkhuria: \xf0\x9f\x94\xb9Revenue budget of Defence (excluding Capital Budget &amp; Pensions) is 218,000 cr \n\n\xf0\x9f\x94\xb9Budget for protecting Modi is 486 cr \n\n\xf0\x9f\x94\xb9Enti\xe2\x80\xa6'",4,None,1649,1073
,,,,,
02-07-2020 19:57,"b'RT @mitalisharma666: For all the people hating on BJP and Modi... \n\n26/11, RSS, Digvijay Singh, Congress.\n\nHarsh Mander, World Vision, Open\xe2\x80\xa6'",3,None,302,655
,,,,,
02-07-2020 19:57,"b""RT @Chellaney: * In 1954, Nehru surrendered India's extra-territorial rights in Tibet to occupier China.\n* In 2003, Vajpayee formally recog\xe2\x80\xa6""",462,None,149,1058
,,,,,
02-07-2020 19:57,b'RT @sachin_inc: Modi government buying MIG - 29 and Sukhoi 30 from Russia.\nWhat happened to #Rafale ? As per schedule first set of 4 Aircra\xe2\x80\xa6',34,Rafale,94,734
,,,,,
02-07-2020 19:57,"b""RT @ashoswai: In the UN Security Council, India will be 'Yes USA' under Modi!""",30,None,455,166
,,,,,
02-07-2020 19:57,b'RT @AbhishBanerj: Things we learn from Twitter:\n\nGeorge Soros has pledged a billion dollar fund to fight Modi.\n\nYesterday I learned that Ma\xe2\x80\xa6',1483,None,2616,561
,,,,,
02-07-2020 19:57,b'RT @TheOliveKnife: How to Identify Chai Biskut Economist on Twitter\n\n1. Troll Modi &amp; abuse system to impose Tax on Farmers without homework\xe2\x80\xa6',122,None,11,48
,,,,,
02-07-2020 19:57,b'@sardanarohit Abe gohuch pehle \xe0\xa4\x96\xe0\xa5\x81\xe0\xa4\xa6 \xe0\xa4\xb8\xe0\xa5\x81\xe0\xa4\xa7\xe0\xa4\xb0 \xe0\xa4\x9c\xe0\xa4\xbe what you Modi Bhakt media n anti-social r anti-muslim news anchors did\xe2\x80\xa6 https://t.co/jYlJ9Kcpmy',0,None,332,577
,,,,,
